for NO_TESTS is 0 cond_prob_loop is 0 actual oracle response for each test:
actual_loop_count:446, actual_oracle_response:0 -1 0 
actual_loop_count:447, actual_oracle_response:0 -1 -1 
actual_loop_count:448, actual_oracle_response:0 -1 0 
actual_loop_count:449, actual_oracle_response:0 0 
actual_loop_count:450, actual_oracle_response:0 -1 0 
actual_loop_count:451, actual_oracle_response:0 -1 0 
actual_loop_count:452, actual_oracle_response:0 -1 -1 
actual_loop_count:453, actual_oracle_response:0 -1 0 
actual_loop_count:454, actual_oracle_response:0 -1 -1 
actual_loop_count:455, actual_oracle_response:-1 0 
actual_loop_count:456, actual_oracle_response:-1 0 
actual_loop_count:457, actual_oracle_response:-1 0 
actual_loop_count:458, actual_oracle_response:-1 0 
actual_loop_count:459, actual_oracle_response:0 -1 0 
actual_loop_count:460, actual_oracle_response:0 -1 0 
actual_loop_count:461, actual_oracle_response:0 -1 -1 
actual_loop_count:462, actual_oracle_response:0 -1 -1 
actual_loop_count:463, actual_oracle_response:0 -1 0 
actual_loop_count:464, actual_oracle_response:0 0 
actual_loop_count:465, actual_oracle_response:0 -1 0 
actual_loop_count:466, actual_oracle_response:0 -1 -1 
actual_loop_count:467, actual_oracle_response:0 -1 -1 
actual_loop_count:468, actual_oracle_response:0 -1 -1 
actual_loop_count:469, actual_oracle_response:0 -1 0 
actual_loop_count:470, actual_oracle_response:0 0 
actual_loop_count:471, actual_oracle_response:0 0 
actual_loop_count:472, actual_oracle_response:0 0 
actual_loop_count:473, actual_oracle_response:0 -1 0 
actual_loop_count:474, actual_oracle_response:0 0 
actual_loop_count:475, actual_oracle_response:0 -1 0 
actual_loop_count:476, actual_oracle_response:0 -1 -1 
actual_loop_count:477, actual_oracle_response:-1 0 
actual_loop_count:478, actual_oracle_response:-1 -1 
actual_loop_count:479, actual_oracle_response:-1 -1 
actual_loop_count:480, actual_oracle_response:-1 0 
actual_loop_count:481, actual_oracle_response:-1 0 
actual_loop_count:482, actual_oracle_response:-1 -1 
actual_loop_count:483, actual_oracle_response:-1 0 
actual_loop_count:484, actual_oracle_response:-1 0 
actual_loop_count:485, actual_oracle_response:-1 0 
actual_loop_count:486, actual_oracle_response:-1 -1 
actual_loop_count:487, actual_oracle_response:0 0 
